/Users/bigoh/Documents/CProjects/Acade/Academix/src/features/components/auth/VerifyEmailForm/index.tsx: line 48, col 5, Error - 'setError' is assigned a value but never used. (@typescript-eslint/no-unused-vars)
/Users/bigoh/Documents/CProjects/Acade/Academix/src/features/components/career/hero/styles.component.ts: line 3, col 45, Error - 'theme' is defined but never used. Allowed unused args must match /^_/u. (@typescript-eslint/no-unused-vars)
/Users/bigoh/Documents/CProjects/Acade/Academix/src/features/components/events/EventsShowcase/EventsShowcase.tsx: line 1, col 17, Error - 'useEffect' is defined but never used. (@typescript-eslint/no-unused-vars)
/Users/bigoh/Documents/CProjects/Acade/Academix/src/features/components/events/EventsShowcase/EventsShowcase.tsx: line 1, col 28, Error - 'useState' is defined but never used. (@typescript-eslint/no-unused-vars)
/Users/bigoh/Documents/CProjects/Acade/Academix/src/features/components/events/EventsShowcase/EventsShowcase.tsx: line 13, col 10, Error - 'useNavigate' is defined but never used. (@typescript-eslint/no-unused-vars)
/Users/bigoh/Documents/CProjects/Acade/Academix/src/features/components/events/EventsShowcase/EventsShowcase.tsx: line 14, col 10, Error - 'appPaths' is defined but never used. (@typescript-eslint/no-unused-vars)
/Users/bigoh/Documents/CProjects/Acade/Academix/src/features/components/events/EventsShowcase/EventsShowcase.tsx: line 16, col 3, Error - 'getAppPath' is defined but never used. (@typescript-eslint/no-unused-vars)
/Users/bigoh/Documents/CProjects/Acade/Academix/src/features/components/home/ReferAndEarn/index.tsx: line 38, col 59, Error - 'ind' is defined but never used. Allowed unused args must match /^_/u. (@typescript-eslint/no-unused-vars)
/Users/bigoh/Documents/CProjects/Acade/Academix/src/features/components/home/course/index.tsx: line 12, col 3, Error - 'IconButton' is defined but never used. (@typescript-eslint/no-unused-vars)
/Users/bigoh/Documents/CProjects/Acade/Academix/src/features/components/home/course/index.tsx: line 23, col 3, Error - 'PriceTypography' is defined but never used. (@typescript-eslint/no-unused-vars)
/Users/bigoh/Documents/CProjects/Acade/Academix/src/features/components/home/index.tsx: line 2, col 3, Error - 'ComingSoon' is defined but never used. (@typescript-eslint/no-unused-vars)
/Users/bigoh/Documents/CProjects/Acade/Academix/src/features/components/home/index.tsx: line 3, col 3, Error - 'DownloadSection' is defined but never used. (@typescript-eslint/no-unused-vars)
/Users/bigoh/Documents/CProjects/Acade/Academix/src/features/components/profile/UserProfile.tsx: line 3, col 10, Error - 'Button' is defined but never used. (@typescript-eslint/no-unused-vars)
/Users/bigoh/Documents/CProjects/Acade/Academix/src/features/components/profile/UserProfile.tsx: line 3, col 18, Error - 'Box' is defined but never used. (@typescript-eslint/no-unused-vars)
/Users/bigoh/Documents/CProjects/Acade/Academix/src/features/components/profile/UserProfile.tsx: line 3, col 23, Error - 'Typography' is defined but never used. (@typescript-eslint/no-unused-vars)
/Users/bigoh/Documents/CProjects/Acade/Academix/src/features/components/profile/UserProfile.tsx: line 4, col 8, Error - 'ExitToAppIcon' is defined but never used. (@typescript-eslint/no-unused-vars)
/Users/bigoh/Documents/CProjects/Acade/Academix/src/features/components/profile/UserProfile.tsx: line 5, col 10, Error - 'useNavigate' is defined but never used. (@typescript-eslint/no-unused-vars)
